game_date,away_team,home_team,venue,away_wrcPlus,away_woba,away_ops,away_runsPerGame,away_recentRunsPerGame,home_wrcPlus,home_woba,home_ops,home_runsPerGame,home_recentRunsPerGame,away_starter_name,away_starter_confirmed,away_era,away_fip,away_xfip,away_siera,home_starter_name,home_starter_confirmed,home_era,home_fip,home_xfip,home_siera,away_bullpen_era,away_bullpen_fip,away_bullpen_whip,away_inningsLast1d,away_inningsLast3d,away_closerAvailable,home_bullpen_era,home_bullpen_fip,home_bullpen_whip,home_inningsLast1d,home_inningsLast3d,home_closerAvailable,away_lineup_confirmed,away_starsOut,away_platoonAdvantage,home_lineup_confirmed,home_starsOut,home_platoonAdvantage,parkFactor,temperatureF,windSpeedMph,windDirection,roofClosed,weatherReliable,bookTotal,homeMoneyline,awayMoneyline,totalMovedSharply
2026-07-18,Pittsburgh Pirates,Cleveland Guardians,Progressive Field,111,0.338,0.768,5.32,6.87,92,0.302,0.679,3.97,4.27,Jared Jones,true,4.37,3.67,3.44,3.53,Gavin Williams,true,3.81,3.74,3.16,3.32,4.61,4.62,1.43,0.0,0.0,,3.74,3.85,1.32,0.0,0.0,,true,,,true,,,97,90,15,crosswind,false,true,7.5,-131,109,
2026-07-18,Pittsburgh Pirates,Cleveland Guardians,Progressive Field,111,0.338,0.768,5.32,6.87,92,0.302,0.679,3.97,4.27,TBD,false,,,,,Logan Allen,true,0.00,0.35,1.88,1.94,4.61,4.62,1.43,0.0,0.0,,3.74,3.85,1.32,0.0,0.0,,,,,,,,97,76,13,in,false,true,8.0,-110,-110,
2026-07-18,Minnesota Twins,Chicago Cubs,Wrigley Field,105,0.323,0.736,4.86,4.80,109,0.329,0.745,5.01,5.67,Taj Bradley,true,3.59,3.93,3.84,3.77,Matthew Boyd,true,4.50,3.58,3.73,3.74,5.35,4.69,1.52,3.7,3.7,,3.84,4.99,1.31,3.0,3.0,,true,,,true,,,100,89,7,crosswind,false,true,8.5,-149,123,
2026-07-18,New York Mets,Philadelphia Phillies,Citizens Bank Park,92,0.302,0.685,4.10,4.47,90,0.307,0.699,4.34,4.13,Sean Manaea,true,4.56,4.14,4.13,3.81,Jesús Luzardo,true,3.51,2.84,2.90,3.15,3.19,3.60,1.15,0.0,3.3,,4.02,3.58,1.29,0.0,3.0,,,,,true,,,102,90,11,out,false,true,8.5,-180,148,
2026-07-18,Chicago White Sox,Toronto Blue Jays,Rogers Centre,104,0.321,0.734,4.85,5.20,93,0.304,0.691,4.08,3.93,Davis Martin,true,3.41,3.09,3.72,4.01,Shane Bieber,true,7.64,8.48,5.50,5.51,4.27,4.49,1.46,5.0,5.0,,3.63,3.49,1.31,5.0,5.0,,true,,,true,,,99,74,5,crosswind,,false,9.5,-111,-108,
2026-07-18,Cincinnati Reds,Colorado Rockies,Coors Field,90,0.312,0.707,4.19,3.73,91,0.326,0.743,4.73,5.40,Rhett Lowder,true,4.91,4.72,4.85,4.89,Tomoyuki Sugano,true,4.80,5.32,5.11,5.17,4.70,5.08,1.50,2.0,2.0,,4.95,4.90,1.56,3.7,3.7,,true,,,,,,112,92,5,crosswind,false,true,12.5,-105,-114,
2026-07-18,Baltimore Orioles,Houston Astros,Daikin Park,103,0.317,0.720,4.59,4.33,103,0.318,0.728,4.56,5.27,Trevor Rogers,true,4.48,4.07,4.72,4.72,Spencer Arrighetti,true,4.50,5.04,4.82,4.66,3.97,3.96,1.25,5.0,5.0,,3.97,4.43,1.32,3.0,3.0,,,,,,,,99,94,6,out,,false,9.0,-109,-110,
2026-07-18,San Diego Padres,Kansas City Royals,Kauffman Stadium,89,0.297,0.673,3.97,4.27,96,0.314,0.714,4.27,4.47,Griffin Canning,true,6.47,4.72,4.50,4.57,Randy Dobnak,true,1.86,4.86,4.78,4.99,3.51,3.73,1.25,4.3,4.3,,4.94,5.14,1.51,4.0,4.0,,,,,true,,,103,92,8,out,false,true,11.0,-108,-111,
2026-07-18,St. Louis Cardinals,Arizona Diamondbacks,Chase Field,98,0.312,0.708,4.52,4.80,90,0.305,0.693,4.33,4.73,Dustin May,true,4.55,3.26,3.87,3.92,Brandon Pfaadt,true,4.70,4.68,4.40,4.35,3.82,4.17,1.29,2.7,2.7,,3.68,3.74,1.16,4.0,4.0,,,,,,,,103,97,3,out,,false,9.0,-120,100,
2026-07-18,Tampa Bay Rays,Boston Red Sox,Fenway Park,104,0.321,0.729,4.46,4.13,94,0.312,0.707,4.17,5.13,Ian Seymour,true,4.59,4.09,4.02,3.53,Patrick Sandoval,true,2.08,1.48,3.25,3.59,3.62,4.06,1.12,6.0,6.0,,3.78,3.98,1.27,9.7,9.7,,,,,,,,106,82,19,out,false,true,9.5,-109,-110,
2026-07-18,Texas Rangers,Atlanta Braves,Truist Park,102,0.316,0.717,4.12,4.67,100,0.319,0.729,4.95,5.80,MacKenzie Gore,true,4.63,3.62,3.89,3.91,Owen Murphy,true,2.25,1.85,3.77,2.71,5.61,5.09,1.51,4.0,4.0,,3.20,3.61,1.08,2.0,2.0,,,,,true,,,102,92,8,crosswind,false,true,9.0,-114,-105,
2026-07-18,Miami Marlins,Milwaukee Brewers,American Family Field,103,0.324,0.739,4.49,5.47,104,0.324,0.734,5.06,4.53,Max Meyer,true,2.58,3.53,3.74,3.76,Shane Drohan,true,3.09,3.24,3.86,3.78,3.93,3.53,1.24,3.7,3.7,,3.36,3.52,1.20,5.0,5.0,,,,,,,,102,82,12,crosswind,,false,8.0,-149,123,
2026-07-18,San Francisco Giants,Seattle Mariners,T-Mobile Park,102,0.317,0.730,4.14,4.53,100,0.305,0.686,4.00,3.87,Logan Webb,true,3.86,3.44,3.70,4.00,Bryan Woo,true,4.23,3.05,3.73,3.62,4.68,4.49,1.46,2.0,2.0,,3.51,3.75,1.31,3.3,3.3,,,,,,,,92,72,7,crosswind,,false,7.0,-157,130,
2026-07-18,Los Angeles Dodgers,New York Yankees,Yankee Stadium,114,0.338,0.774,5.18,4.60,107,0.323,0.740,4.77,3.87,Emmet Sheehan,true,4.81,4.34,3.91,3.66,Ryan Weathers,true,4.15,3.87,3.28,3.41,3.94,3.84,1.25,3.3,3.3,,3.19,3.67,1.20,3.0,3.0,,,,,,,,99,76,3,crosswind,false,true,9.0,-113,-106,
2026-07-18,Washington Nationals,Athletics,Sutter Health Park,110,0.334,0.767,5.50,6.67,99,0.317,0.723,4.39,2.80,Zack Littell,true,4.90,6.09,5.12,4.93,J.T. Ginn,true,3.67,4.45,4.34,4.47,6.33,5.53,1.64,3.0,3.0,,5.67,5.03,1.50,5.3,5.3,,,,,,,,103,92,8,out,false,true,11.5,-104,-115,
2026-07-18,Detroit Tigers,Los Angeles Angels,Angel Stadium,98,0.313,0.710,4.22,5.07,97,0.311,0.705,4.40,3.60,Tarik Skubal,true,3.09,3.06,2.54,2.74,Grayson Rodriguez,true,7.55,4.97,5.27,5.30,4.19,4.28,1.36,3.3,3.3,,4.41,4.47,1.38,3.0,3.0,,,,,,,,100,81,10,out,false,true,8.0,163,-199,
